<Unknown>
,
.
to
the
and
of
I
a
was
her
;
it
in
not
"
be
she
that
you
had
as
--
he
for
have
is
with
Mr
very
but
."
his
'
at
s
so
Emma
all
could
would
been
him
Mrs
.--
on
any
my
no
Miss
were
do
-
must
me
She
will
by
which
!
from
Harriet
or
said
much
more
an
are
He
such
Weston
what
them
am
,"
there
this
than
one
It
every
thing
they
Knightley
Elton
think
if
should
The
being
little
never
good
!--
know
your
did
only
might
well
Woodhouse
when
say
You
Jane
own
their
But
who
herself
now
time
can
quite
how
great
we
too
some
about
most
before
has
Fairfax
nothing
always
man
?"
thought
And
Churchill
soon
other
see
again
dear
may
shall
out
without
first
Frank
father
sure
?--
made
like
body
day
up
young
ever
Oh
indeed
friend
?
two
though
better
into
Hartfield
just
come
give
way
really
make
then
They
Bates
himself
having
rather
us
long
!"
hope
done
seemed
after
over
away
cannot
wish
many
here
:
upon
home
woman
go
There
enough
mind
No
A
Highbury
does
;--
happy
even
heard
moment
came
last
its
going
love
room
half
take
look
however
pleasure
felt
while
sort
morning
If
still
letter
How
This
My
saw
yet
few
poor
another
something
What
myself
same
feelings
believe
idea
hear
speak
off
doubt
`
subject
evening
party
house
till
feel
word
ought
people
place
deal
right
found
looked
often
Randalls
certainly
John
present
want
coming
We
our
Smith
Her
(
knew
Yes
almost
those
visit
Well
best
old
--"
Martin
least
possible
both
hour
kind
friends
once
world
together
cried
perhaps
life
suppose
else
Perry
gone
replied
told
family
given
happiness
obliged
That
whole
manner
wanted
find
tell
seen
mother
able
lady
ill
hardly
whom
between
where
opinion
side
far
In
down
Isabella
carriage
immediately
looking
less
left
wife
three
understand
short
get
back
person
heart
part
talked
pretty
ready
comfort
afraid
perfectly
towards
extremely
situation
spirits
let
began
general
answer
next
acquaintance
nor
put
sir
marry
since
set
daughter
therefore
through
change
whether
sorry
either
course
under
Cole
true
things
others
talk
known
thinking
Do
children
account
mean
longer
attention
dare
Goddard
superior
assure
taken
bad
years
equal
His
feeling
making
yourself
return
aunt
sense
degree
To
state
CHAPTER
passed
name
walk
brought
nobody
brother
cold
business
leave
gave
because
imagine
minutes
hand
manners
beyond
walked
talking
usual
bear
natural
among
exactly
directly
When
saying
care
satisfied
eyes
seeing
point
Very
Campbell
affection
rest
glad
days
agreeable
read
So
used
Donwell
wonder
As
Such
appeared
words
Taylor
these
means
wished
society
attachment
dinner
girl
door
allow
took
voice
pleased
interest
particularly
each
went
Ah
son
believed
likely
giving
against
speaking
near
doing
London
walking
already
air
remember
married
full
strong
farther
called
smile
Dixon
character
hoped
regard
meant
ask
stay
conversation
need
proper
different
ladies
spoke
real
power
five
night
afterwards
call
fine
respect
reason
early
allowed
kindness
)
head
open
beginning
nature
themselves
particular
end
expected
sitting
fond
pleasant
health
settled
entirely
meeting
help
returned
Not
question
creature
whose
delightful
round
object
One
weather
sit
fortune
impossible
thoughts
met
bring
,--
child
fancy
wrong
asked
use
continued
letters
Colonel
handsome
sat
sometimes
Every
engaged
surprize
convinced
truth
yes
seem
added
temper
necessary
got
received
Enscombe
forward
new
Now
determined
meaning
probably
consider
appear
large
please
supposed
company
taste
gentleman
news
comfortable
marriage
amiable
husband
circumstance
At
common
obliging
